Sample in Buffer,Sample in Window,TRIGGER,x[9:0],y[9:0],p_c_down,p_c_up,w_en,p_c_left,e_cd_reg[1:0],<const0>_1,<const0>_2,<const0>_3,<const0>_4,<const0>_5,<const0>_6,<const0>_7,<const0>_8,p_c_right,<const0>_9,<const0>_10,<const0>_11,<const0>_12,<const0>_13,<const0>_14,<const0>_15,<const0>_16,<const0>_17,move_cnt_reg[3:0],<const0>_18,<const0>_19,<const0>_20,<const0>_21,<const0>_22,<const0>_23,<const0>_24,<const0>_25,motion_timer_reg[21:0],e_state_reg[2:0],<const0>_26,<const0>_27,<const0>_28,<const0>_29,<const0>_30,<const0>_31,<const0>_32,<const0>_33,<const0>_34,<const0>_35,<const0>_36,<const0>_37,<const0>_38,<const0>_39,<const0>_40,<const0>_41,<const0>_42,<const0>_43,<const0>,random_16_1[15:0],random_16[15:0],data[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
28,28,0,335,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3ef6,3ef6,7ded
29,29,0,336,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7ded,7ded,fbdb
30,30,0,336,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fbdb,fbdb,f7b7
31,31,0,336,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f7b7,f7b7,ef6e
32,32,0,336,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ef6e,ef6e,dedd
33,33,0,337,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dedd,dedd,bdbb
34,34,0,337,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bdbb,bdbb,7b76
35,35,0,337,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c4689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7b76,7b76,f6ec
36,36,0,337,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c468a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f6ec,f6ec,edd8
37,37,0,338,179,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1c468b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,edd8,edd8,dbb1
